#icel C11 C12 C13 C14 C15 C16 C22 C23 C24 C25 C26 C33 C34 C35 C36 C44 C45 C46 C55 C56 C66
0 303.479589187918 205.67184060601 204.909834574028 -8.49141295693698 -7.87516747404879 -9.34674042509869 292.968675089833 200.635941329892 -11.0307353601456 -9.52027095008816 -7.54849904005823 318.366671577996 22.5853344079951 19.8834325899952 23.48880469101 113.744785635299 2.60610280499805 1.19917411709594 112.387725128019 -2.08069051200255 115.567229440194
1 252.235241532594 173.294574939496 175.568591885201 -10.9998998038009 -10.1250832481014 -11.7736502913999 257.0727819637 189.4426555363 -3.55992267269585 -3.06439234719846 -3.61674120149473 279.085426362798 14.4852376793949 13.4031787882975 14.6370806818993 98.108423230201 1.30387046650071 1.83028082360011 95.2265469181953 -2.1886521155011 100.180223214903
2 297.440047611008 201.302334363982 205.059650822022 -12.07834042998 -9.41112276700551 -11.0629323899957 296.399092711999 227.337458429975 11.0466804700081 11.0862687810368 12.2832300199661 301.552392449958 -4.43174565598383 -3.90895656701105 -3.24332537602459 111.81601142858 1.76176663674994 0.98486204960011 111.784594579012 -1.33762799400756 112.233366074997
3 294.401973602896 205.621477051295 203.718625252498 -10.2573815400035 -9.84916576269939 -9.61792847220409 347.208830709951 241.159470822004 31.7179189480157 32.0077805559777 29.402671428943 288.524308583703 -22.9478346912003 -23.7455776850993 -22.2733676773999 115.417534908011 2.55317608898622 0.545003540992184 116.939167388169 0.170139407219949 114.577607806018
4 252.331901137995 182.343600232025 183.436912205025 -8.66593892897072 -5.45550777796961 -9.11141685196526 275.44952865901 211.886443989897 17.5050355199346 18.1489637239793 18.7983160169097 249.236117248029 -19.2773014189697 -20.3782572679756 -17.2328992689927 101.572664239006 2.95200340101474 2.42211094300728 100.178923735984 -0.0210327320019132 95.7850549711907
5 293.992221131697 210.1340630143 207.990094506499 -5.71444782620461 -4.16099336370053 -5.05713729590411 311.970744050802 221.810747309803 9.37892092640595 10.1071988771992 14.3748243566961 289.05427653699 -4.55559343999994 -3.84988633500143 -2.94501226701414 115.808883669979 3.20693464700526 3.32939524300855 115.6841157646 1.10589756550041 114.805830406999
6 255.172625214072 181.603005149009 184.280477867014 -4.31689031393034 -5.58453989197005 -6.40001285401013 256.052363947992 181.724534549994 -1.46576281999842 -2.03512708999369 -3.09066375803013 270.051100664023 11.4875438090166 11.3742151050246 11.3774408359859 99.2745238989755 2.19993515797796 1.40554470999632 98.935214084031 1.98069088501143 97.0263665628977
7 278.494680539006 196.304626468009 191.882515474026 11.6536594689933 10.8773168820335 8.39776994298518 254.312716262029 151.302976780062 -22.7587988249979 -23.6087030819363 -23.3445532639962 283.12514336194 10.8503451680008 11.3786177369548 9.20943462897412 98.6533317079989 1.44389161399658 2.01500831100248 98.8875982470063 -1.3162958500061 98.3104391679944
8 226.814910688063 163.460179034064 167.435408981055 5.23327664704993 6.12079501306653 4.76616538107919 208.649208156021 156.315017065026 -8.73056835798707 -6.87162087897377 -9.80317730000024 232.852107334998 5.26762786798827 5.20643306099373 3.76840462499786 84.3272141175021 0.505500962105998 1.60128617610553 82.7513242124098 -0.477151901419859 83.6264252600131
9 258.592142768998 186.727871449011 186.773764781992 -3.38951344599536 -3.91849998400176 -1.54852492898954 269.161475650003 191.365087879206 4.56191712670488 3.445217693411 3.59740008580047 265.946978932402 -0.656587259999242 -4.08409710659612 -3.85850310029809 101.365161676199 0.859678096699668 -0.158760176600481 98.8391711789973 0.0564472419910089 97.3621765838971
10 259.055187437025 181.126424040031 175.994918804008 -9.14461571201173 -9.11158396002065 -9.24348693297361 284.506900626002 198.986890725064 16.5495133440345 17.6138590230039 17.5485579599808 260.463827357012 -10.6523955839975 -10.5145780749808 -9.38582151400169 98.1575270947019 1.00223112619915 0.742590056302106 101.478540388496 0.241932563596947 100.621487078001
