# r	p	err_p
2.607213792795955776e+00 3.452354980243860783e-01 1.193116622902831454e-03
3.594377567536517493e+00 3.307099435518888186e-01 1.800300960238830411e-03
4.436435739593187932e+00 3.438796258641724224e-01 8.267178896291224642e-04
4.990184237139266621e+00 3.487774191783819533e-01 1.788338930321753872e-03
5.215519609388695521e+00 3.361596891008655774e-01 1.869515641352794636e-03
5.737158778532035264e+00 3.370921252392791723e-01 8.076614275469206012e-04
6.738932565617975712e+00 3.404587394610805728e-01 5.488654950454787285e-04
7.798592775468394578e+00 3.379262588148839175e-01 5.282524748595566208e-04
8.327203699497724543e+00 3.412520828374196458e-01 1.676078560748716457e-03
8.434010317886187380e+00 3.393370906081267235e-01 1.526717551292480334e-03
9.090318767364317765e+00 3.399977595578860812e-01 3.970124773136373179e-04
9.933106944756564971e+00 3.399233898842915491e-01 5.786961265167665357e-04
1.112188696677950084e+01 3.378650383591670359e-01 2.724024190793763295e-04
1.199584466164018970e+01 3.387669497684656639e-01 1.108558839468390357e-03
1.216844601919974167e+01 3.406605242286867008e-01 7.603768479705749414e-04
1.259581222092039177e+01 3.388703997211022778e-01 4.370468753241435879e-04
1.331839696145020469e+01 3.373794911786977546e-01 2.893811001324230912e-04
1.454592755275878346e+01 3.367401771473318428e-01 2.517342711555534541e-04
1.558219588286904944e+01 3.364493620731544010e-01 2.595500195438484124e-04
1.681181364018896929e+01 3.376215877000313670e-01 2.069851485181541800e-04
1.780191002140936618e+01 3.365318218437104436e-01 2.667008083466139066e-04
1.865057898674032444e+01 3.361216650039536846e-01 2.281175882169011971e-04
1.914745405098692999e+01 3.367898608526101456e-01 5.732036475461534109e-04
1.931661890133722181e+01 3.342860200133238036e-01 4.531189283890289235e-04
1.947092946389023993e+01 3.371080967317066635e-01 6.344684389621407360e-04
1.958558004847597545e+01 3.349716652136007222e-01 5.690944424189409157e-04
1.968822095340933132e+01 3.354626095561210053e-01 7.244596623477116137e-04
