# r	p	err_p
2.127659574468085124e-01 nan nan
6.382978723404255650e-01 nan nan
1.063829787234042534e+00 nan nan
1.489361702127659726e+00 nan nan
1.914893617021276473e+00 nan nan
2.340425531914893664e+00 5.312361979223952924e-01 1.235308907667109725e-03
2.765957446808510412e+00 5.252019542706278799e-01 1.644287236131170525e-03
3.191489361702127603e+00 3.502869239341311891e-01 8.990217570270046463e-03
3.617021276595744794e+00 2.834513489849276313e-01 3.397612791915692251e-03
4.042553191489361986e+00 3.205615943036054238e-01 4.700331149537955236e-03
4.468085106382979177e+00 2.808885642960358697e-01 3.975514551647013096e-03
4.893617021276595480e+00 3.952072731609085343e-01 3.758929411195907448e-03
5.319148936170213560e+00 4.119710977282450282e-01 2.474469776200626751e-03
5.744680851063829863e+00 4.025692133054562527e-01 1.976849248791133669e-03
6.170212765957446166e+00 4.759996130316487273e-01 9.835581383439623293e-03
6.595744680851064246e+00 2.970054390708661840e-01 6.533743749557347456e-03
7.021276595744680549e+00 2.647478033357905103e-01 9.845506176928978809e-03
7.446808510638298628e+00 3.190178994470980189e-01 2.102339984114981724e-03
7.872340425531914931e+00 3.070608842898590041e-01 2.746530967521189533e-03
8.297872340425531235e+00 2.843240690736734133e-01 5.097531975443252844e-03
8.723404255319149314e+00 3.401009218579072457e-01 1.152649864864935475e-03
9.148936170212767394e+00 3.440861371117640566e-01 6.717317379049214752e-04
9.574468085106381920e+00 3.076782580582169135e-01 4.859571737416507227e-03
1.000000000000000000e+01 2.965017302085096174e-01 7.642084417755760049e-03
1.042553191489361808e+01 3.309482556019274768e-01 7.052784219100694278e-04
1.085106382978723438e+01 3.034009155182902928e-01 3.849939559172296712e-03
1.127659574468085069e+01 3.192283923387367328e-01 2.312270341868414604e-03
1.170212765957446877e+01 3.372763499297196654e-01 2.363513055363859576e-03
1.212765957446808507e+01 3.313677945196891739e-01 2.138148816606575200e-03
1.255319148936170137e+01 3.345783271598105069e-01 5.600871772628921016e-04
1.297872340425531945e+01 3.315419990286838092e-01 2.585354651995617863e-03
1.340425531914893753e+01 3.357009755930303041e-01 1.178742070283727607e-03
1.382978723404255206e+01 3.325388095596291671e-01 1.641973906689508109e-03
1.425531914893617014e+01 3.285819676441643078e-01 2.016719358952289484e-03
1.468085106382978822e+01 3.344743763559989147e-01 5.530430182525585599e-04
1.510638297872340452e+01 3.368765913168057513e-01 5.769864572673382873e-04
1.553191489361702082e+01 3.396280873046697013e-01 5.710514264529805047e-04
1.595744680851063890e+01 3.356001378290864867e-01 1.426971687528205777e-03
1.638297872340425698e+01 3.364337454641211922e-01 9.169180022519573744e-04
1.680851063829787151e+01 3.343584139738042249e-01 5.510706640215988494e-04
1.723404255319148959e+01 3.344486247679773205e-01 9.968709715359029035e-04
1.765957446808510767e+01 3.309208709986354857e-01 1.011756193689547414e-03
1.808510638297872219e+01 3.331599298036155288e-01 9.628297569647561831e-04
1.851063829787234027e+01 3.334980975601662401e-01 4.163599953126620847e-04
1.893617021276595835e+01 3.323710523812694051e-01 6.793917968712304611e-04
1.936170212765957643e+01 3.314169894730704113e-01 9.069529808674747394e-04
1.978723404255319096e+01 3.322557038507160665e-01 7.035840158045871765e-04
