# r	p	err_p
2.555997436348231400e+00 3.364872241428608635e-01 1.241907037611871076e-03
3.597055349454650663e+00 3.382054616384915224e-01 1.755077068671423435e-03
4.385347041747225560e+00 3.414963864191754017e-01 8.756674359227953688e-04
5.051667173732388605e+00 3.422575038264975000e-01 1.236517368996911063e-03
5.654934529926809006e+00 3.392030016819769789e-01 8.748162810398504028e-04
6.183964487439431501e+00 3.447692180662207950e-01 1.557506780182072543e-03
6.696658957421473879e+00 3.432356990388137352e-01 6.097284948540741953e-04
7.150312712423786188e+00 3.396898243392941774e-01 2.162798411469866924e-03
7.578181408046380518e+00 3.429108089043455543e-01 6.950102816298462088e-04
8.003174468443733147e+00 3.384026287917877296e-01 8.966137446018899006e-04
8.385374073237260362e+00 3.379930424106000753e-01 8.703870525805358725e-04
9.030700082476734281e+00 3.394634167011633119e-01 4.390256610233139452e-04
9.813100021212809665e+00 3.388234068173397451e-01 5.853057926429684537e-04
1.041599835116160655e+01 3.401619314889736678e-01 5.456043514349463459e-04
1.099913600286634008e+01 3.401668348278361065e-01 4.097869886436876778e-04
1.159644092134240090e+01 3.393230841705697221e-01 5.175854473026300336e-04
1.209817567794619109e+01 3.403209187399337532e-01 5.435755318128092026e-04
1.264293169699925024e+01 3.386802162242352754e-01 4.276983366012001024e-04
1.324855360382496983e+01 3.382782792914318937e-01 3.214530343597690721e-04
1.406842162090867099e+01 3.388519986836399100e-01 4.266114616806037122e-04
1.466868301040809008e+01 3.379281237676521332e-01 3.106938467207097290e-04
1.537067337450729099e+01 3.366165588434804068e-01 3.106546683994332921e-04
1.584221686429195053e+01 3.363807813201616370e-01 5.960617716357688965e-04
1.643820407454546384e+01 3.356660178887747037e-01 2.764052614942255452e-04
1.695880594756929582e+01 3.353219107200554605e-01 3.729693524776774298e-04
1.733711403981240196e+01 3.362294356622823055e-01 4.285368949811711281e-04
1.772193442514222994e+01 3.357992917431120161e-01 3.420825581122982476e-04
1.824301075679441198e+01 3.361337314746528637e-01 3.194420051288032205e-04
1.872066814820412972e+01 3.371029701731805273e-01 3.123951124650116212e-04
1.922984574654022083e+01 3.366309196839559204e-01 2.845771462506605583e-04
