# r	p	err_p
1.528610477093628850e+00 3.270110011141990070e-01 8.761937382549723910e-04
3.509512784365567128e+00 3.275279172215961321e-01 1.238755807438259721e-03
4.349648600198378290e+00 3.244307810548563986e-01 6.204331657182892302e-04
5.033548785591017705e+00 3.231644790812140955e-01 8.782645480610845991e-04
5.647121632377388956e+00 3.267714776303275448e-01 6.186549348714095098e-04
6.168605419502300791e+00 3.261274991477329799e-01 1.096901679175463868e-03
6.700704413353234301e+00 3.247550742980359062e-01 4.333145029155505861e-04
7.148957580528250588e+00 3.346101525023268963e-01 1.458972028731956271e-03
7.543733873402711509e+00 3.245593285316932808e-01 4.950651755800030557e-04
8.003659307172252824e+00 3.264356026800580568e-01 6.320469388497526467e-04
8.381471658722020379e+00 3.282720139055080311e-01 6.140295548159474016e-04
8.706843665804463228e+00 3.259052470042772542e-01 6.999081964947594364e-04
9.152816699222810826e+00 3.268531323192032101e-01 3.461438569040523093e-04
9.787768422416586844e+00 3.278892934514947011e-01 4.129148884715849971e-04
1.037786287740612323e+01 3.272713433971838337e-01 3.899325765681977600e-04
1.099101603607216227e+01 3.262947383321930239e-01 2.885393310424990061e-04
1.159364582353098427e+01 3.280527121154074299e-01 3.662752707670017009e-04
1.210278214178618228e+01 3.265335036751324527e-01 3.827585734334318390e-04
1.261642059074211453e+01 3.273292048899277273e-01 3.026669662165708285e-04
1.332670250453673333e+01 3.276814164148542652e-01 2.266416203900497716e-04
1.403711212484433091e+01 3.269096755680860888e-01 3.016967589051782893e-04
