#icel C66
0 105.616098531004
1 98.0180975016992
2 105.66942458161
3 97.2969333145045
4 98.2542618875016
5 91.6205387760954
6 98.3540728244009
7 92.1310894726602
8 105.032625601899
9 98.1079449995601
10 104.58366558867
11 98.6406492780134
12 97.9661238673003
13 91.7828883912989
14 98.1715640972993
15 91.1300782702
16 98.4833566362909
17 91.14306234186
18 96.9941591714928
19 91.4811613717007
20 92.0225680705016
21 85.63596530478
22 91.5534632591971
23 85.2585110004
24 98.3839504928028
25 91.7876996915993
26 98.5546258400973
27 91.5819910693983
28 91.9619441285022
29 85.3153965570073
30 91.390596208197
31 85.2993727929004
32 104.752601379397
33 97.8100034412023
34 105.438977594508
35 98.5165764839962
36 97.4927150413009
37 91.8933253909927
38 98.2240630670049
39 91.2363180794955
40 105.141952762403
41 98.2183793707009
42 104.26920622355
43 97.4283627955003
44 98.2825086251012
45 91.4434277241981
46 98.5867134730995
47 92.0495491373003
48 96.9869476561996
49 91.9710878605088
50 99.1311614598999
51 91.6810955444987
52 91.811038137098
53 85.2059741182998
54 91.3633824179897
55 85.4243618447981
56 99.2375716389916
57 91.624049736896
58 97.923471871502
59 91.0957273423947
60 91.7961866322969
61 85.4884481436045
62 91.218306716803
63 85.5770790124041
